cod_mpio,nombre,departamento,subregion_pdet,area_km2,n_google,n_microsoft,area_google_m2,area_ms_m2,densidad_google,densidad_ms
13670,SAN PABLO,BOLÍVAR,SUR DE BOLÍVAR,2068.7066135,15645,6766,1120749.35,913404.45,7.562696371686347,3.270642611110887
13688,SANTA ROSA DEL SUR,BOLÍVAR,SUR DE BOLÍVAR,2442.93324833,18916,8848,1491960.69,1156677.54,7.743150580528986,3.6218754671452986
13744,SIMITÍ,BOLÍVAR,SUR DE BOLÍVAR,1389.35095102,11029,5428,843376.1,732404.78,7.938239069043712,3.9068602472363105
13894,ZAMBRANO,BOLÍVAR,MONTES DE MARÍA,320.26119013,6081,2913,442918.57,326468.87,18.987626935163792,9.095700914673923
18001,FLORENCIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,2565.4595789,58140,19870,7363533.8,5965224.8,22.662606138167597,7.74520096259701
18029,ALBANIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,415.40503,3014,1947,331269.29,295915.5,7.255569341565267,4.686991873930848
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1199.2772046300001,5328,3206,574651.09,533940.0,4.442675954675374,2.6732768601143486
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,12873.017155219999,15932,10417,1858541.03,1560772.19,1.2376274969492747,0.809212003246334
18205,CURILLO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,401.67450855,3856,2161,397887.93,345645.78,9.59981257939352,5.3799779523001545
18247,EL DONCELLO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1114.19499181,9152,4511,1184248.78,1067014.73,8.21400209772318,4.048662965781169
18256,EL PAUJÍL,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1243.5435795399999,6286,4060,739581.22,778685.79,5.05490929584089,3.264863465019728
18410,LA MONTAÑITA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1712.70863861,9515,6352,932666.38,842210.41,5.555527534281712,3.7087452336056153
18460,MILÁN,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1228.64344813,3635,3462,365511.65,485873.95,2.9585474984890725,2.817741799111188
18479,MORELIA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,465.50092736,2404,1310,275818.86,230672.49,5.164329131702979,2.8141726965602754
18592,PUERTO RICO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,4178.28276614,12310,9546,1328036.65,1549246.37,2.9461864332777745,2.284670649233927
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1317.95460118,5244,4380,526874.14,606170.1,3.9788927443364943,3.32333146838174
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,20345.27758169,21607,14750,2562272.59,2589550.63,1.06201549294395,0.7249839644986932
18756,SOLANO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,42577.91715721,6069,4365,605642.85,582918.86,0.14253867744613938,0.10251793162834048
18785,SOLITA,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,479.90566087999997,3000,2240,308952.93,268877.58,6.251228615430206,4.6675840328545535
18860,VALPARAÍSO,CAQUETÁ,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,1338.63915443,4932,3798,540880.68,520947.08,3.6843386686235644,2.837209704669971
19050,ARGELIA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,779.86383768,13692,8467,976938.09,931052.26,17.556911012481404,10.857023483981889
19075,BALBOA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,415.29017236000004,12680,7648,882826.12,869331.93,30.532867965409416,18.416038974720127
19110,BUENOS AIRES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,438.16047874000003,13445,8900,1082716.21,932687.59,30.685104322195443,20.312192522687948
19130,CAJIBÍO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,555.99935336,41282,16950,2579058.34,1703478.7,74.2482877912101,30.485646966256752
19137,CALDONO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,357.35460775,15305,9649,1238047.88,1017704.63,42.82860684619226,27.001190947984913
19142,CALOTO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,266.90237794,12266,7384,1326984.88,1141870.57,45.95687792169994,27.66554594601601
19212,CORINTO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,328.63444254,10522,6630,904468.84,837595.42,32.01733792318286,20.17439179155126
19256,EL TAMBO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,2756.15094091,38906,24336,2453242.53,2260726.42,14.116062884115623,8.8297050929892
19318,GUAPI,CAUCA,PACÍFICO MEDIO,2579.45296123,6403,4690,536560.44,546814.98,2.4823092710893087,1.8182149744508602
19364,JAMBALÓ,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,236.22968548,6517,4122,414950.28,369988.16,27.587557367136025,17.449119451792956
19418,LÓPEZ DE MICAY,CAUCA,PACÍFICO MEDIO,3389.24686162,24,4025,1033.4,355704.75,0.007081219214739768,1.187579472471982
19450,MERCADERES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,701.29243903,11489,5976,905689.33,757853.51,16.382609251984995,8.521409425525487
19455,MIRANDA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,191.29220586000002,10360,5587,1216094.32,1014550.33,54.15798282749751,29.206626453400443
19473,MORALES,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,515.0219487200001,31082,12373,1970876.53,1193973.03,60.350825974017326,24.024218833296324
19532,PATÍA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,759.37115648,17995,9356,1499369.19,1204709.23,23.697239283375318,12.320720796624588
19548,PIENDAMÓ - TUNÍA,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,182.54892457,30240,9901,2630332.83,1350770.95,165.65422158049583,54.23751481046592
19698,SANTANDER DE QUILICHAO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,522.09856309,35707,22800,3853080.9,3585646.54,68.39130103839183,43.66991524561946
19780,SUÁREZ,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,395.19441118000003,14549,7286,892839.83,674821.61,36.814791880681064,18.436495542143255
19809,TIMBIQUÍ,CAUCA,PACÍFICO MEDIO,2068.72244924,4873,4688,371110.1,535919.85,2.3555600712846836,2.266132898457336
19821,TORIBÍO,CAUCA,ALTO PATÍA Y NORTE DEL CAUCA,496.0991571,11454,7619,781452.72,714387.82,23.08812630715917,15.357816861729152
20001,VALLEDUPAR,CESAR,SIERRA NEVADA - PERIJÁ,4356.21873002,171430,36350,15392805.96,9288267.86,39.35293671518944,8.344392752710355
20013,AGUSTÍN CODAZZI,CESAR,SIERRA NEVADA - PERIJÁ,1818.08261988,34737,11639,2714746.31,1426540.59,19.106392426925442,6.401799276189228
20045,BECERRIL,CESAR,SIERRA NEVADA - PERIJÁ,1269.16306973,12959,5305,928201.35,567984.31,10.210665838832579,4.179919922448247
20400,LA JAGUA DE IBIRICO,CESAR,SIERRA NEVADA - PERIJÁ,782.12252075,20111,9005,1649733.31,1055930.43,25.713362633663813,11.513541371196988
20443,MANAURE BALCÓN DEL CESAR,CESAR,SIERRA NEVADA - PERIJÁ,142.22232344999998,5955,2510,464522.52,339111.06,41.87106394794313,17.648424938595674
20570,PUEBLO BELLO,CESAR,SIERRA NEVADA - PERIJÁ,773.9759589700001,15838,4171,989221.81,409608.59,20.463167901335154,5.389056277084792
20621,LA PAZ,CESAR,SIERRA NEVADA - PERIJÁ,1114.32916197,20419,6021,1380124.35,770314.96,18.324029108151187,5.403250857543381
20750,SAN DIEGO,CESAR,SIERRA NEVADA - PERIJÁ,670.87497912,12207,2925,904466.59,383537.55,18.195640588671473,4.359977776838212
23466,MONTELÍBANO,CÓRDOBA,SUR DE CÓRDOBA,1589.65462575,28122,13808,2522102.63,2138509.02,17.690635150847328,8.686163507677259
23580,PUERTO LIBERTADOR,CÓRDOBA,SUR DE CÓRDOBA,1687.18184034,14554,10264,1132326.22,1029344.0,8.626218971789719,6.083517350999703
23682,SAN JOSÉ DE URÉ,CÓRDOBA,SUR DE CÓRDOBA,538.5116523500001,4031,2809,272502.3,276645.67,7.485446196770675,5.216228818340071
23807,TIERRALTA,CÓRDOBA,SUR DE CÓRDOBA,5056.66267992,43131,20573,3088666.25,2189306.7,8.529538695802893,4.068493649318423
23855,VALENCIA,CÓRDOBA,SUR DE CÓRDOBA,943.29878801,25126,10156,1718647.2,1028081.75,26.636311123653897,10.766472011933017
27006,ACANDÍ,CHOCÓ,CHOCÓ,817.64785026,6313,3454,458266.36,385119.19,7.720927778373732,4.224312457865178
27099,BOJAYÁ,CHOCÓ,CHOCÓ,3691.28080855,0,1474,0.0,138829.9,0.0,0.39931938978628206
27150,CARMEN DEL DARIÉN,CHOCÓ,CHOCÓ,3432.53122787,281,2458,12634.63,199871.4,0.08186378545327026,0.7160896250681078
27205,CONDOTO,CHOCÓ,CHOCÓ,473.66427012,239,1812,18041.43,288678.89,0.5045767964289364,3.82549437292566
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,CHOCÓ,4174.803460239999,309,1563,38160.4,149992.03,0.07401546035468609,0.37438888198826653
27361,ISTMINA,CHOCÓ,CHOCÓ,1900.98855413,6767,1596,670326.42,158876.94,3.559726851220818,0.8395631822888171
27425,MEDIO ATRATO,CHOCÓ,CHOCÓ,1841.49339806,313,1458,19454.59,155947.45,0.16997074240382468,0.7917486978427359
27450,MEDIO SAN JUAN,CHOCÓ,CHOCÓ,671.0532883,0,1074,0.0,110500.02,0.0,1.6004690219472695
27491,NÓVITA,CHOCÓ,CHOCÓ,956.53208465,0,1095,0.0,129317.92,0.0,1.1447603458076014
27615,RIOSUCIO,CHOCÓ,CHOCÓ,6257.72708983,999,451,55735.44,36576.83,0.15964262833122997,0.07207089627365837
